test_index,true_equation,true_skeleton,predicted_equation,predicted_tree,predicted_y,rel_err,dsr_time
0,-1.4608810703863337*exp(-1.3662906591107051*x1/(1.6570892466721525*x1))+-0.5481326790673482,C*exp(C*x1/(C*x1))+C,cos(3),"cos,div,add,x1,add,x1,x1,x1","[-0.9899925 -0.9899925 -0.9899925 -0.9899925 -0.9899925 -0.9899925
 -0.9899925 -0.9899925 -0.9899925 -0.9899925 -0.9899925 -0.9899925
 -0.9899925 -0.9899925 -0.9899925 -0.9899925 -0.9899925 -0.9899925
 -0.9899925 -0.9899925 -0.9899925 -0.9899925 -0.9899925 -0.9899925
 -0.9899925 -0.9899925 -0.9899925 -0.9899925 -0.9899925 -0.9899925]",0.006061993780356377,9.823997974395752
1,0.9397283929441147*exp(-1.7138582239614426*x1)*-2.0077425853788546*cos(-1.3353942241925272*x1**2+-0.9402324542557938*x1)+0.7279997618628564,C*exp(C*x1)*C*cos(C*x1**2+C*x1)+C,"   ⎛      ⎛    ⎛      ⎛   2     ⎞     ⎞⎞⎞
   ⎜      ⎜    ⎜      ⎜ x₁  - x₁⎟     ⎟⎟⎟
   ⎜      ⎜    ⎜      ⎜ℯ        ⎟     ⎟⎟⎟
   ⎜      ⎜ sin⎜x₁⋅log⎜─────────⎟ - x₁⎟⎟⎟
   ⎜      ⎜    ⎜      ⎜     2   ⎟     ⎟⎟⎟
   ⎜      ⎜    ⎝      ⎝   x₁    ⎠     ⎠⎟⎟
   ⎜      ⎝ℯ                           ⎠⎟
x₁⋅⎝x₁ + ℯ                              ⎠","mul,add,exp,exp,sin,sub,mul,log,mul,div,div,div,sub,add,exp,sub,mul,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1","[ 85.67886774  -6.14479757   1.37342524   8.54807852  34.42559667
  46.67827342  84.96626148 -31.82608514  -7.49010908  19.32790076
  19.01447247   5.28479618  14.82429547  26.37677054   7.96040872
   5.62439154  46.86481186  61.71456041  18.28553962  79.54258468
   9.81681981   5.32101614  65.27285558  47.87273369   6.66260107
   8.91783815  15.32672044 -10.19004432  76.27303169  73.90193801]",274.17368405508864,7.259382963180542
2,0.5035538309121157*x1**5+-1.7880275308333555*x1**4+1.9763031036747143*x1**3+0.64126273976877*x1**2*1.9018843748420244*log(0.8634365809569955*x1)+-1.6578296868442013*x1**2+-0.4515420744032035*x1+1.133184078275951,C*x1**5+C*x1**4+C*x1**3+C*x1**2*C*log(C*x1)+C*x1**2+C*x1+C,"       2    
 x₁⋅cos (x₁)
ℯ           ","exp,mul,mul,cos,x1,cos,x1,x1","[ 0.046549   21.18877902  4.03309645  0.13841054  0.08075235  1.16161938
  1.35613577  0.0534902   0.56278109  0.99854641 16.4231501   0.97614306
  0.27172073 24.48753577  1.36221471  0.04444939  1.12793911  1.24315651
 21.91815691  2.03911621  1.8284714  21.22601913  0.04085759  0.75079676
  0.95639282 19.99761565  0.83848985  9.8850355   1.49111643  0.81620126]",61.84567745766211,6.474130630493164
3,0.25685479717362014*x1/(1.3240180394403067*x1+-0.16002606291656596)+1.3023923419772578,C*x1/(C*x1+C)+C,"   2        
sin (x₁) + 1","add,div,x1,x1,mul,sin,x1,sin,x1","[1.63629034 1.95799959 1.00213957 1.96070811 1.02453997 1.9602512
 1.73356088 1.59881393 1.9815225  1.87947328 1.97403636 1.99112186
 1.2045599  1.12605891 1.21616553 1.31778062 1.7575359  1.9984495
 1.31891652 1.96355643 1.36566574 1.59408203 1.51790807 1.25789647
 1.9942572  1.00956791 1.90983047 1.2481041  1.06780548 1.90287001]",0.016804470169758334,6.549528360366821
4,0.9633718254570423*x1*1.9148717606989867*log(0.9006877952636358*x1**4+1.6669653267307702*x1**3+0.5648574464503451*x1**2+-1.2276559446229411*x1+-0.6261005199630683)*-1.7718715377928107*sin(1.342774419612362*x1)+0.6767932552032421,C*x1*C*log(C*x1**4+C*x1**3+C*x1**2+C*x1+C)*C*sin(C*x1)+C,"       2    
 x₁⋅cos (x₁)
ℯ           ","exp,mul,mul,cos,x1,cos,x1,x1","[ 0.13209478  0.07519634 24.07707152  0.0476851   0.04383997  1.22791573
 24.75117761  0.05019894 22.96014547  1.00329827  3.3413251   0.04006715
  1.41483264 13.83821608  1.05955357  0.92827698  1.31089696  0.94383993
  1.14565217  0.0440686   0.27267227  0.04111899  0.07630025  1.01808863
  7.44831258 24.92871282  4.82044406  0.05267766  3.31671226  0.04003621]",7.33018577269111,6.52360987663269
5,-2.03995581177251*x1**2+1.784589431926912*x1+-0.0323998685508311,C*x1**2+C*x1+C,3⋅x₁⋅cos(x₁),"mul,add,add,x1,x1,x1,cos,x1","[-9.66082374  8.2016929   4.69919674 -4.70877686  8.98015938  9.82321401
  2.34015878  9.85155016  6.31244537 -2.77135184 -1.11496289  6.88271636
  9.55956976  3.06881846 -9.86076206 -9.45336031  6.35075081 -1.73717322
  0.74849737  9.85310027 -3.68896166 -9.46539072  9.6107521  -7.75241294
 -3.42841475 -9.3455882  -9.46237254  9.4402728  -7.66764863 -9.77595844]",3.643963526851202,6.551841974258423
6,0.7857267985261505*x1+1.8322960722393105*sin(1.4963571161610014*x1)+0.7030234480140063,C*x1+C*sin(C*x1)+C,2⋅sin(x₁),"add,sin,x1,sin,x1","[ 1.93512283  1.76705757 -1.14410464 -0.60523496  1.91745656  1.89663229
  1.1636022  -0.15308541 -0.09091525 -0.23408204 -0.97565813 -1.99942104
  0.41533572 -0.15341348  1.99444771  1.40105713  1.69143487  0.54110076
  0.20235632 -1.88135005  0.66488019  0.36290639  1.33306899  0.00247545
 -0.23726397  1.74315496  1.73827893  1.80256437 -1.99638735  0.26512623]",1.0392959316710357,6.267428398132324
7,-0.961876108374458*x1+-1.250800758696987/x1+-1.0663702739185705,C*x1+C/x1+C,"           ⎛     ⎛             x₁⎞    ⎞
           ⎜     ⎜       x₁ + ℯ  ⎟  x₁⎟
        cos⎜x₁ + ⎜3⋅x₁ + ────────⎟⋅ℯ  ⎟
           ⎜     ⎜           2   ⎟    ⎟
           ⎝     ⎝         x₁    ⎠    ⎠
-2⋅x₁ + ───────────────────────────────
                       x₁              ","sub,sub,div,cos,add,mul,exp,x1,add,x1,add,add,sub,add,div,div,add,exp,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1","[ 9.50196886 -8.03565235 -9.08451584 -5.83545527  6.75093995  8.56051043
 -6.10230315 -6.7492024   7.47988217 -7.316304    8.87969712  8.30872926
  7.60332146  7.23990177 -9.9069667   8.48901682  7.04221007  7.02996794
 -8.51171072  6.65953165  9.78739328  8.62965876  7.34149718 -7.51336461
  8.73618213  9.84964295  6.80339736  7.04799746  8.39697581  7.58951582]",0.9335946678012431,6.498638868331909
8,-1.1721166123163602*x1**5+1.6974628250176984*x1**4+-1.8183674492315656*x1**3+0.28345722200202106*x1**2+-0.20747095003007954*x1+-1.8057037618847964,C*x1**5+C*x1**4+C*x1**3+C*x1**2+C*x1+C,"  2 ⎛           ⎛    2⋅x₁⎞    ⎛ x₁⎞⎞     
x₁ ⋅⎝-2⋅x₁ + sin⎝x₁⋅ℯ    ⎠⋅cos⎝ℯ  ⎠⎠ + x₁","add,mul,mul,sub,sub,add,sub,mul,cos,exp,x1,sin,mul,x1,mul,x1,div,mul,exp,x1,exp,x1,x1,x1,x1,x1,x1,x1,x1,x1","[  59.48067722   72.20184745  157.41478931  234.89332135 -137.44375148
  238.31449718 -120.3292125   140.7293447   -97.17972798  135.01190913
 -180.935319    110.66834179 -223.16206562 -216.87185463   53.1310789
 -205.96010917  127.42558465  107.96705801  -84.02943442  135.3997606
 -128.46567493 -157.60856655  112.18574477 -103.69988827  154.89443736
 -109.16851967  141.07478595  178.26728197  -79.58957644  -85.04348349]",194.10445115567924,6.268799304962158
9,0.5429391980551586*x1**4+0.5587698685776163*x1**2+0.26202636943628077,C*x1**4+C*x1**2+C,"   ⎛       x₁    ⎛   ⎛        x₁⎞       ⎞⎞     
x₁⋅⎝-x₁ + ℯ  ⋅cos⎝x₁⋅⎝2⋅x₁ + ℯ  ⎠ + 2⋅x₁⎠⎠ + x₁","add,mul,sub,mul,exp,x1,cos,add,add,mul,add,mul,sub,add,div,add,x1,exp,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1","[186.2560063  -16.43851538 -13.32905184 -27.23772483 -57.91362927
 -15.16145161 106.52867609 -23.09243988  76.67010871  17.04946267
 -10.86473932 -28.25485877 -16.2347636   -9.62404    -24.09438614
 -15.12321618 -12.4214824  301.29378509 -12.57450444 -17.47805632
 -15.14859041  81.84478519 349.09830357 -75.05886313 -14.59713946
 -25.91776377   2.37612881 169.48686207 -22.30417698 -18.83561853]",17.85368514743891,6.35110068321228
